"created_at","tweet_user_id","followers_count","country","name","coordinates","place_type","text","hashtag","game"
"2019-05-09 13:28:14","85005101","2155","United States","Jasmine Estates","[[[-82.715072, 28.273282], [-82.715072, 28.326834], [-82.616751, 28.326834], [-82.616751, 28.273282]]]","city","Slept like buns last night but that doesn't mean we can't clap some cheeks for the kids soon. #Clips4Kids is back o… https://t.co/cnW5lcvJaC","['Clips4Kids']","ApexLegends"
"2019-05-09 11:14:13","193141691","626","Dominican Republic","Santo Domingo Norte","[[[-70.032893, 18.510493], [-70.032893, 18.716171], [-69.77299, 18.716171], [-69.77299, 18.510493]]]","city","Imagen de la temporada 9 ya disponible, deja tu comentario👇🏽 #fortnite #fortniterd #fortnitememes… https://t.co/Oz3FEi31Ro","['fortnite', 'fortniterd', 'fortnitememes']","Fortnite"
"2019-05-09 11:14:37","54220491","4509","Brasil","Belo Horizonte","[[[-44.062789, -20.059816], [-44.062789, -19.777568], [-43.856856, -19.777568], [-43.856856, -20.059816]]]","city","A PUMP foi pro cofre ! 🤭🤭🤭🤭

#Fortnite #Season9","['Fortnite', 'Season9']","Fortnite"
"2019-05-09 11:42:34","555520981","1095","United States","Georgetown","[[[-75.413361, 38.665959], [-75.413361, 38.707712], [-75.363777, 38.707712], [-75.363777, 38.665959]]]","city","What tier are you guys already ? #FortniteSeason9 #FortniteBattleRoyale #Fortnite","['FortniteSeason9', 'FortniteBattleRoyale', 'Fortnite']","Fortnite"
"2019-05-09 11:59:19","1851033906","703","United Kingdom","Glasgow","[[[-4.393285, 55.796184], [-4.393285, 55.920421], [-4.090218, 55.920421], [-4.090218, 55.796184]]]","city","I can’t wait. Need to update on my phone &amp; jump in 👀 #fortnite #FortniteSeason9 https://t.co/UzsMNOFkQa","['fortnite', 'FortniteSeason9']","Fortnite"
"2019-05-09 12:00:22","555520981","1095","United States","Georgetown","[[[-75.413361, 38.665959], [-75.413361, 38.707712], [-75.363777, 38.707712], [-75.363777, 38.665959]]]","city","RIP Banana skin you will be missed 🍌🙏#FortniteSeason9 #FortniteBattleRoyale #Fortnite","['FortniteSeason9', 'FortniteBattleRoyale', 'Fortnite']","Fortnite"
"2019-05-09 16:46:56","807405140","780","United States","Portland","[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]","city","Just working on a #instastory on my review on this year's #overwatch archives event on my #Instagram now","['instastory', 'overwatch', 'Instagram']","overwatch"
"2019-05-09 13:31:30","956210176264163328","2417","United States","Indianapolis","[[[-86.348441, 39.631677], [-86.348441, 39.927448], [-85.937404, 39.927448], [-85.937404, 39.631677]]]","city","It’s finally the day we have all been waiting for...

It’s time for our $5,000 League of Legends Elite Series Grand… https://t.co/LplSuO0KRK",NULL,"LeagueOfLegends"
"2019-05-09 17:03:23","2596508543","530","United Kingdom","Glasgow","[[[-4.393285, 55.796184], [-4.393285, 55.920421], [-4.090218, 55.920421], [-4.090218, 55.796184]]]","city","Here is what I want to be able to do without the glitch @PlayApex 

@SoaRGaming @makz @HardlyWins @Crudes… https://t.co/KvbWlHZ3gz",NULL,"ApexLegends"
"2019-05-09 17:28:22","4726551739","233","United States","Palmyra","[[[-76.612035, 40.295721], [-76.612035, 40.322777], [-76.572936, 40.322777], [-76.572936, 40.295721]]]","city","#Fortnite, what're you doing?","['Fortnite']","Fortnite"
"2019-05-09 13:32:19","1106577066000945152","284","Republic of the Philippines","Malabon City","[[[120.920806, 14.64731], [120.920806, 14.705314], [121.000485, 14.705314], [121.000485, 14.64731]]]","city","@pldt tignan nyo tong kapatid ko nagwawala na dahil ma-lag daw bagal daw net.🤣
#pldtcares
#Fortnite 
#Turtlenet 🤣 https://t.co/mkqpVcWi3w","['pldtcares', 'Fortnite', 'Turtlenet']","Fortnite"
"2019-05-09 17:34:19","575588918","885","United States","Las Vegas","[[[-115.384091, 36.129459], [-115.384091, 36.336371], [-115.062159, 36.336371], [-115.062159, 36.129459]]]","city","They put a #Gundam in #Fortnite. This game isn’t going anywhere anytime soon. #PopCulture #Gamers","['Gundam', 'Fortnite', 'PopCulture', 'Gamers']","Fortnite"
"2019-05-09 17:55:37","188211782","198","United States","Vancouver","[[[-122.713442, 45.582501], [-122.713442, 45.678677], [-122.464507, 45.678677], [-122.464507, 45.582501]]]","city","Streaming #fortnite https://t.co/OWiYi9chlb","['fortnite']","Fortnite"
