"tweet_id","tweet_user_id","quoted_user_id"
"1126444365746929664","928587070767075328","1105776984041361409"
"1126447176685629440","1054389136172441600","1035492762513285120"
"1126450809644953600","1083093989501423618","1125617727157227531"
"1126456094606467072","1120439902695493632","1026129475480834049"
"1126456101019488257","958352903760162818","805889527323787264"
"1126460164641644544","1073917397193633792","246596682"
"1126460832261595137","973886753147932672","917282330586296320"
"1126471313885937664","924281101","1028440418814513153"
"1126471977760256001","1021818358411472896","425871040"
"1126474313123557376","51214425","2295939460"
"1126474637817389056","494512995","425871040"
"1126474651180335105","489914831","2153533232"
"1126490381074538496","832436739939647493","271684376"
"1126477046929137665","3315799271","425871040"
"1126479265795641344","1048563537428316160","155857134"
"1126481425971208195","1098037600571527168","1052540977586421761"
"1126483405913432064","777526532851892224","770781940341288960"
"1126486322003230720","466682857","835547548131684353"
"1126489818513408001","1094444251964981248","425871040"
"1126491218064617473","841097196","840994165"
"1126497987717410816","1101661015152852996","876915793497399300"
"1126498381151592449","1264945435","425871040"
"1126499310919651329","1011821626734923777","425871040"
"1126503413691215872","949344936780091392","425871040"
"1126504244683476994","2168775489","1030921894449623040"
"1126504664717877250","37998390","121258930"
"1126506395707236352","3103934024","839182824473153536"
"1126506642500022272","1119024558768476160","3433886253"
"1126510081426595840","839270655954583552","36724576"
"1126515316027215873","2480987515","902623975133642755"
"1126516015087616001","829739209","850511118892232704"
"1126520475071463424","1293001652","835547548131684353"
"1126520491374784513","4828232773","991737464904716288"
"1126521384153300993","960525259098218496","425871040"
"1126522645242163201","3296530822","2455740283"
"1126522997211303936","3405074997","1100862161004515328"
"1126428819928145920","1074723962309902336","2460338911"
"1126529631371309065","1089739846258696192","795765761553772545"
"1126535374107316230","859924350018793472","425871040"
"1126538829794500609","1094367133679509505","1016751554496430082"
"1126539889686740992","956559032147415042","843491631219294208"
"1126541449359712257","956210176264163328","425871040"
"1126543988637478917","977178790370660353","848596577929359360"
"1126551457749250048","776294941215563776","425871040"
"1126557009505951745","1100522276414402561","425871040"
"1126574137135259654","1016706354227175424","2450731638"
"1126574551251476480","2311545488","1110209084316368896"
"1126575504860033025","975821410433163264","425871040"
"1126577380955389953","1107612774899871746","835547548131684353"
"1126578435000819713","1125672259509792769","2210485170"
"1126582516578754561","1623829598","897037986432503809"
"1126585369921839104","1087850879653421058","230232912"
"1126589095474618368","739838080178360320","3873936134"
"1126591574023049217","877737546","59804598"
"1126591578221568001","986617987703721984","59804598"
"1126600085222170631","787359682344132608","1011570977816432640"
"1126603067854553090","878922792414138368","1034427604823142400"
"1126609703319027713","3289515635","952183062657359873"
"1126632296096907267","65380577","373220657"
"1126638755874582528","1916635051","425871040"
"1126640274028015616","776466762913026048","908090746200260608"
"1126640375404355586","984032936616865792","425871040"
"1126640377463701504","1123436330938241025","425871040"
"1126643157209317376","1074765181622861825","846764858368544770"
"1126647708603822081","130360034","835547548131684353"
"1126649504655134723","984836765843443713","2455740283"
"1126650152599658497","984836765843443713","2455740283"
"1126654603682934784","1088108354143166464","1126336590039662593"
"1126670194087219202","1101339429602582528","3049017420"
"1126673588789051394","983957674449567744","425871040"
"1126676086023081984","26060030","1100522276414402561"
"1126433472715808768","854432232995381248","1100013053943242753"
"1126685033538789376","118797163","2241494389"
"1126686561876111368","800751166137077760","2559865245"
"1126720028131246080","1087447426179448833","979718669512056832"
"1126743128671522818","780111902244532225","2559865245"
"1126748651110322176","1086972891302776832","1120317526003466240"
"1126749832234668032","3450118157","1125022547760664576"
"1126751369275117569","1118189993187524610","1032390010165575682"
"1126771111427887105","3433886253","425871040"
"1126772291075895296","1087850879653421058","230232912"
"1126785263366168576","634019355","1113222246"
"1126813702181851137","1087089697384554496","826951154689048576"
"1126815937376718853","273489703","24512707"
"1126834433489813504","929940171197419520","1070513619945680896"
"1126838598366629888","494512995","869229501544378370"
"1126857463771406338","1095840362369826816","919695348397899776"
"1126878267816980482","1043749309127233536","1013553539463827461"
"1126888949480415233","1125673398959579136","990633098026061825"
"1126891448291532800","2257095173","618683411"
"1126894310639710208","733405881598009350","924829078447943680"
"1126438084512403457","1039585613761003520","944239462153777152"
"1126902888783958016","797190667839553536","1065875786035531778"
"1126905563265236993","984307189853704192","1074046337673506816"
"1126907492250869761","1099329475291111424","1090334671764840448"
"1126941636402065408","1892000413","311775629"
"1126947132089479173","1087850879653421058","230232912"
"1126947542518906882","1087850879653421058","230232912"
"1126306354065485826","4508959300","2461306809"
"1126965794208866304","1366364371","3177285932"
"1126970451165626368","823426280","425871040"
"1126971825244856325","3896117419","809098662471147520"
"1126975679432622081","1126951318550130690","1005738617996800000"
"1126976529798316032","388624944","384098145"
"1126979459163336704","1054083450691600385","1124688733"
"1127012557108256772","3221499689","726807926233534465"
"1126997314932019201","961676287843688448","1017054006567288832"
"1127001874131976193","929980621","908090746200260608"
"1127014594327777280","1103010075394932736","841834407971414016"
"1127014764989829121","1103087074100563969","841834407971414016"
"1126465477314793472","555520981","1019402675199401984"
"1126445567628935169","2384991482","996307997616955392"
"1126308350151598081","1091531920368914432","924829078447943680"
"1126460132227985408","890688329670422528","3412182287"
"1126464793819222018","944885957903335424","885473425581420544"
"1126466678546673664","1022804196289064961","425871040"
"1126466769462472710","977530158805602304","425871040"
"1126466813439639554","1079091143751667712","425871040"
"1126472335316459520","1115958476759605250","872060874994966529"
